# wave A(l)/A(V) unc
1.6808788478374481e-01 2.6076605155594121e+00 6.9823925855626398e-02
1.6842460632324219e-01 2.6073334520091191e+00 6.9516089068265036e-02
1.6876199841499329e-01 2.5865718485742586e+00 6.8300812456361215e-02
1.6910006105899811e-01 2.5982179438971826e+00 6.8672704637993090e-02
1.6943880915641785e-01 2.5997947432626893e+00 6.9464842887194497e-02
1.6977822780609131e-01 2.5918535646157506e+00 6.8850392067683244e-02
1.7011833190917969e-01 2.5963218181909444e+00 6.8393349068812975e-02
1.7045912146568298e-01 2.6043992790815582e+00 6.9563705476499690e-02
1.7080058157444000e-01 2.6022170331396639e+00 6.9291254220722409e-02
1.7114274203777313e-01 2.6168934695470312e+00 7.0031712405989252e-02
1.7148557305335999e-01 2.6227836865252456e+00 6.9987733323141565e-02
1.7182910442352295e-01 2.6074173665827423e+00 6.9279810764358185e-02
1.7217330634593964e-01 2.5963881895085512e+00 6.9369971725006363e-02
1.7251820862293243e-01 2.5925508943825717e+00 6.9693492482473918e-02
1.7286381125450134e-01 2.6042764553174451e+00 6.8653476405156649e-02
1.7321008443832397e-01 2.6131161099574625e+00 7.0197101342735740e-02
1.7355707287788391e-01 2.5950730853214545e+00 6.9252259510237585e-02
1.7390474677085876e-01 2.5935579035586138e+00 6.8605463631314492e-02
1.7425310611724854e-01 2.5969023587264135e+00 6.9627786583516718e-02
1.7460218071937561e-01 2.6183497606971970e+00 6.7923388870478593e-02
1.7495194077491760e-01 2.5977999951170809e+00 6.8352123893105965e-02
1.7530241608619690e-01 2.5860879829624719e+00 6.7785416108798208e-02
1.7565357685089111e-01 2.5908937244130406e+00 6.8462120283058536e-02
1.7600545287132263e-01 2.5916601282665503e+00 6.7584389498764622e-02
1.7635802924633026e-01 2.5920218401058737e+00 6.8981007846224504e-02
1.7671132087707520e-01 2.5938194344730920e+00 6.8035357485787235e-02
1.7706531286239624e-01 2.6102255641473926e+00 6.8372989925395200e-02
1.7742000520229340e-01 2.6134179952306651e+00 6.8920022763855532e-02
1.7777542769908905e-01 2.6090209057452585e+00 6.8512072607099961e-02
1.7813155055046082e-01 2.6102457296468331e+00 6.9273784532805971e-02
1.7848838865756989e-01 2.6071273992770276e+00 6.8964400925993971e-02
1.7884594202041626e-01 2.6170809179492700e+00 6.8214974645497722e-02
1.7920421063899994e-01 2.6382428513988057e+00 7.3788730013307907e-02
1.7956319451332092e-01 2.6007168595532737e+00 6.8292843648053034e-02
1.7992289364337921e-01 2.6014851445754430e+00 6.7596891652200050e-02
1.8028332293033600e-01 2.6062780678994928e+00 6.7168499993638248e-02
1.8064446747303009e-01 2.6120822929553591e+00 6.8486620701617956e-02
1.8100634217262268e-01 2.6135340829774023e+00 6.8313117056119532e-02
1.8136893212795258e-01 2.6162096330790181e+00 6.9158014805869653e-02
1.8173225224018097e-01 2.6215242110771091e+00 6.8562214231091656e-02
1.8209630250930786e-01 2.6318490459295347e+00 6.9018276092607911e-02
1.8246108293533325e-01 2.6341705560467821e+00 6.9336563386179384e-02
1.8282659351825714e-01 2.6377038213924435e+00 6.9073703475858395e-02
1.8319283425807953e-01 2.6240991755392309e+00 6.8065799900878896e-02
1.8355982005596161e-01 2.6329635052659075e+00 6.8356024688658590e-02
1.8392752110958099e-01 2.6390825624796452e+00 6.8845811298836726e-02
1.8429598212242126e-01 2.6537186941119066e+00 7.0283792489015728e-02
1.8466515839099884e-01 2.6729135003342877e+00 7.1624198256636809e-02
