# wave A(l)/A(V) unc rms origin
0.09163613008171934 5.836473842148735 0.06763679366326807 1.585670995226655 FUSE
0.09226152462094972 5.7256344660852605 0.05725634466085261 0.988879593221162 FUSE
0.09289118732743412 5.930268698505229 0.05930268698505229 1.0061733999898033 FUSE
0.09352514733038708 5.857575523696745 0.05857575523696745 0.9382539978365182 FUSE
0.094163433957823 5.897370783468888 0.05897370783468889 0.8247866803862284 FUSE
0.094806076737913 5.64833514798886 0.056483351479888595 0.9755903639015178 FUSE
0.09545310540035076 5.552575198146958 0.055525751981469584 0.8364698411842556 FUSE
0.09610454987772803 5.582572442184582 0.05582572442184582 0.817398799020718 FUSE
0.0967604403069193 5.715661291610805 0.057156612916108046 1.7703000116893468 FUSE
0.09742080703047593 5.210351080743134 0.05210351080743134 1.1720417450027296 FUSE
0.09808568059802994 5.27019460517383 0.0527019460517383 0.9656721005277735 FUSE
0.09875509176770723 5.112408680099299 0.051508494983721426 1.7214763593178095 FUSE
0.09942907150755048 5.332930055613616 0.05332930055613616 0.9882056587784702 FUSE
0.10010765099695185 5.319918217591962 0.05319918217591962 0.9118556826794545 FUSE
0.10079086162809531 5.088172989953931 0.05088172989953932 0.8068999100511753 FUSE
0.10147873500740892 5.1001423900465035 0.05100142390046503 0.9316093625791133 FUSE
0.1021713029570271 5.208466536930201 0.052084665369302015 1.0448345440527325 FUSE
0.1028685975162626 5.095927500500441 0.05095927500500441 1.142267804161624 FUSE
0.10357065094308876 5.0283958494855305 0.050283958494855306 1.1322188024236557 FUSE
0.10427749571563186 4.821684365141776 0.04821684365141776 0.8561435079509077 FUSE
0.1049891645336736 4.790992448086997 0.04790992448086997 0.8749700066522884 FUSE
0.10570569032016378 4.753598780750438 0.04753598780750438 0.8385562231060207 FUSE
0.10642710622274341 4.654975577890001 0.04654975577890001 0.8630954031827714 FUSE
0.10715344561527822 4.5921451235116635 0.045921451235116637 0.8078506867742996 FUSE
0.10788474209940248 4.471049869114391 0.04471049869114391 0.798561261494852 FUSE
0.10862102950607358 4.430789260293204 0.04430789260293204 0.7764325961470658 FUSE
0.10936234189713703 4.373691019714902 0.043736910197149016 0.7081111570918431 FUSE
0.11010871356690224 4.3118804899365015 0.04311880489936502 0.7128324946643058 FUSE
0.11086017904372907 4.219347197024962 0.04219347197024962 0.7256317673962975 FUSE
0.11161677309162504 4.147770543353686 0.04147770543353686 0.6679723140557713 FUSE
0.11237853071185376 4.083347257181949 0.0408334725718195 0.7022328241391452 FUSE
0.11314548714455397 4.015750335527264 0.04015750335527264 0.7256785377352098 FUSE
0.1139176778703699 3.9685750224899317 0.03968575022489932 0.6786647996371792 FUSE
0.11469513861209264 3.913752138936439 0.03913752138936439 0.6308482532218067 FUSE
0.11547790533631275 3.884163905429949 0.038841639054299486 0.6322169029994344 FUSE
0.11626601425508408 3.816936964417706 0.03816936964417706 0.5889463479999176 FUSE
0.11705950182759908 3.8357810937838677 0.03835781093783868 0.6025817161407541 FUSE
0.11785840476187537 3.6884742501349765 0.036884742501349765 0.655761023720735 FUSE
0.11866276001645398 3.634253687384416 0.03634253687384416 0.6870628470412055 FUSE
0.11481172332839881 3.706434616083873 0.03914983795007724 0.5790073661618641 IUE
0.11558222968272125 3.6897843877140675 0.03689784387714067 0.6627388480784043 IUE
0.11635790693793116 3.7779913555198172 0.03777991355519817 0.6838231018105507 IUE
0.11713878979616417 3.7494738177657707 0.03749473817765771 0.5969039346770977 IUE
0.11792491319244335 3.7223170588659302 0.0372231705886593 0.6736700740228766 IUE
0.11871631229624223 3.6997504658751152 0.03699750465875115 0.5751187418476709 IUE
0.12440683003556788 3.4570099405218633 0.034570099405218636 0.5024379031808025 IUE
0.125241729558758 3.4150465342830483 0.034150465342830484 0.4943216838128067 IUE
0.12608223212812836 3.4125661391959317 0.03412566139195932 0.5235943197784466 IUE
0.12692837534595994 3.3691081030450087 0.03369108103045009 0.5050549375468859 IUE
0.1277801970668843 3.3571210851271016 0.033571210851271016 0.48029507585617287 IUE
0.12863773539957696 3.307323829236559 0.033073238292365595 0.48844012966511613 IUE
0.1295010287084625 3.2875258283264635 0.03287525828326464 0.5112485820653675 IUE
0.13037011561543066 3.2531769828098973 0.03253176982809897 0.48262380681868683 IUE
0.13124503500156443 3.2137839525060095 0.032137839525060094 0.46697028403447066 IUE
0.13212582600887932 3.1936268290927763 0.031936268290927765 0.4416207448992534 IUE
0.13301252804207458 3.199042855580485 0.03199042855580485 0.4668765685173589 IUE
0.13390518077029612 3.1473839376969295 0.03147383937696929 0.43480569908706246 IUE
0.13480382412891112 3.120300783534121 0.03120300783534121 0.44891630222762086 IUE
0.13570849832129475 3.0923421705370666 0.030923421705370668 0.42666239534792494 IUE
0.1366192438206287 3.076122177755733 0.030761221777557333 0.42504910812470065 IUE
0.14126547659854216 2.94084878557588 0.029408487855758798 0.42027212026734706 IUE
0.14221351521524536 2.9376408526515485 0.029376408526515487 0.40667950426847155 IUE
0.14316791615939334 2.894676980507695 0.02894676980507695 0.4005743332505745 IUE
0.14412872212883593 2.897357113753536 0.028973571137535358 0.3941406598154592 IUE
0.14509597610797004 2.8799549501475123 0.028799549501475123 0.38636233978300505 IUE
0.1460697213696628 2.858251942123472 0.028582519421234718 0.3780680277473981 IUE
0.1470500014771873 2.84914565452856 0.0284914565452856 0.40480753550582793 IUE
0.1480368602861716 2.836294671828937 0.028362946718289372 0.3776184160391135 IUE
0.14903034194656078 2.8137945337083763 0.028137945337083765 0.365385405054595 IUE
0.15003049090459203 2.815150451163976 0.02815150451163976 0.37836339709998984 IUE
0.1510373519047832 2.7923014262747805 0.027923014262747806 0.3880044595237565 IUE
0.1572220145749187 2.708623447452687 0.027086234474526873 0.347874032149234 IUE
0.15827713819607409 2.7053471654687864 0.027053471654687865 0.34134067719603084 IUE
0.15933934279668982 2.692697830842828 0.026926978308428284 0.3446875073963173 IUE
0.16040867589752 2.678096112887066 0.02678096112887066 0.3472861671880176 IUE
0.16148518533823245 2.6593112038121363 0.026593112038121362 0.3251352074918567 IUE
0.16256891927954914 2.6617662044568213 0.026617662044568214 0.31916425146029553 IUE
