# wave A(l)/A(V) unc
1.84744e-01 2.87692e+00 1.43846e-01
1.85604e-01 2.88424e+00 1.44212e-01
1.86468e-01 2.89314e+00 1.44657e-01
1.87336e-01 2.90207e+00 1.45103e-01
1.88208e-01 2.91104e+00 1.45552e-01
1.89083e-01 2.92182e+00 1.46091e-01
1.89963e-01 2.93473e+00 1.46736e-01
1.90848e-01 2.94770e+00 1.47385e-01
1.91736e-01 2.96073e+00 1.48036e-01
1.92628e-01 2.97541e+00 1.48770e-01
1.93525e-01 2.99302e+00 1.49651e-01
1.94425e-01 3.01071e+00 1.50536e-01
1.95330e-01 3.02849e+00 1.51425e-01
1.96239e-01 3.04722e+00 1.52361e-01
1.97153e-01 3.07008e+00 1.53504e-01
1.98070e-01 3.09305e+00 1.54652e-01
1.98992e-01 3.11613e+00 1.55806e-01
1.99918e-01 3.13931e+00 1.56965e-01
2.00849e-01 3.16655e+00 1.58328e-01
2.01784e-01 3.19431e+00 1.59715e-01
2.02723e-01 3.22219e+00 1.61110e-01
2.03666e-01 3.25020e+00 1.62510e-01
2.04614e-01 3.27888e+00 1.63944e-01
2.05566e-01 3.30812e+00 1.65406e-01
2.06523e-01 3.33749e+00 1.66875e-01
2.07484e-01 3.36699e+00 1.68349e-01
2.08450e-01 3.39587e+00 1.69794e-01
2.09420e-01 3.41917e+00 1.70958e-01
2.10395e-01 3.44256e+00 1.72128e-01
2.11374e-01 3.46609e+00 1.73305e-01
2.12358e-01 3.48969e+00 1.74484e-01
2.13346e-01 3.50365e+00 1.75182e-01
2.14339e-01 3.51074e+00 1.75537e-01
2.15337e-01 3.51790e+00 1.75895e-01
2.16339e-01 3.52507e+00 1.76253e-01
2.17346e-01 3.53226e+00 1.76613e-01
2.18357e-01 3.51814e+00 1.75907e-01
2.19374e-01 3.50294e+00 1.75147e-01
2.20395e-01 3.48765e+00 1.74382e-01
2.21420e-01 3.47232e+00 1.73616e-01
2.22451e-01 3.45294e+00 1.72647e-01
2.23486e-01 3.41964e+00 1.70982e-01
2.24526e-01 3.38617e+00 1.69308e-01
2.25571e-01 3.35253e+00 1.67626e-01
2.26621e-01 3.31874e+00 1.65937e-01
2.27676e-01 3.28236e+00 1.64118e-01
2.28735e-01 3.24185e+00 1.62092e-01
2.29800e-01 3.20114e+00 1.60057e-01
2.30870e-01 3.16025e+00 1.58013e-01
2.31944e-01 3.11917e+00 1.55958e-01
2.33024e-01 3.07906e+00 1.53953e-01
2.34108e-01 3.04032e+00 1.52016e-01
2.35198e-01 3.00141e+00 1.50070e-01
2.36292e-01 2.96231e+00 1.48115e-01
2.37392e-01 2.92303e+00 1.46151e-01
2.38497e-01 2.88605e+00 1.44303e-01
2.39607e-01 2.85326e+00 1.42663e-01
2.40722e-01 2.82033e+00 1.41016e-01
2.41842e-01 2.78724e+00 1.39362e-01
2.42968e-01 2.75399e+00 1.37700e-01
2.44099e-01 2.72311e+00 1.36156e-01
2.45235e-01 2.70413e+00 1.35207e-01
2.46376e-01 2.68506e+00 1.34253e-01
2.47523e-01 2.66591e+00 1.33295e-01
2.48675e-01 2.64666e+00 1.32333e-01
2.49832e-01 2.62733e+00 1.31366e-01
2.50995e-01 2.60790e+00 1.30395e-01
2.52163e-01 2.58839e+00 1.29419e-01
2.53337e-01 2.56878e+00 1.28439e-01
2.54516e-01 2.54908e+00 1.27454e-01
2.55701e-01 2.52930e+00 1.26465e-01
2.56891e-01 2.50942e+00 1.25471e-01
2.58086e-01 2.48944e+00 1.24472e-01
2.59287e-01 2.46937e+00 1.23469e-01
2.60494e-01 2.44922e+00 1.22461e-01
2.61706e-01 2.42896e+00 1.21448e-01
2.62925e-01 2.40861e+00 1.20431e-01
2.64148e-01 2.38817e+00 1.19408e-01
2.65378e-01 2.36763e+00 1.18382e-01
2.66613e-01 2.34700e+00 1.17350e-01
2.67854e-01 2.32627e+00 1.16314e-01
2.69100e-01 2.30545e+00 1.15272e-01
2.70353e-01 2.28501e+00 1.14250e-01
2.71611e-01 2.27145e+00 1.13572e-01
2.72875e-01 2.25783e+00 1.12891e-01
2.74145e-01 2.24414e+00 1.12207e-01
2.75421e-01 2.23039e+00 1.11519e-01
2.76703e-01 2.21658e+00 1.10829e-01
2.77991e-01 2.20305e+00 1.10153e-01
2.79284e-01 2.19127e+00 1.09563e-01
2.80584e-01 2.17943e+00 1.08972e-01
2.81890e-01 2.16754e+00 1.08377e-01
2.83202e-01 2.15559e+00 1.07779e-01
2.84520e-01 2.14359e+00 1.07179e-01
2.85844e-01 2.13170e+00 1.06585e-01
2.87175e-01 2.12128e+00 1.06064e-01
2.88511e-01 2.11081e+00 1.05540e-01
2.89854e-01 2.10029e+00 1.05015e-01
2.91203e-01 2.08973e+00 1.04487e-01
2.92558e-01 2.07912e+00 1.03956e-01
2.93920e-01 2.06846e+00 1.03423e-01
2.95288e-01 2.05912e+00 1.02956e-01
2.96662e-01 2.04997e+00 1.02498e-01
2.98043e-01 2.04078e+00 1.02039e-01
2.99430e-01 2.03154e+00 1.01577e-01
3.00824e-01 2.02226e+00 1.01113e-01
3.02224e-01 2.01294e+00 1.00647e-01
3.03630e-01 2.00400e+00 1.00200e-01
3.05044e-01 1.99557e+00 9.97786e-02
3.06463e-01 1.98711e+00 9.93556e-02
3.07890e-01 1.97861e+00 9.89303e-02
3.09323e-01 1.97006e+00 9.85032e-02
3.10762e-01 1.96148e+00 9.80740e-02
3.12209e-01 1.95286e+00 9.76429e-02
3.13662e-01 1.94474e+00 9.72369e-02
3.15121e-01 1.93672e+00 9.68361e-02
3.16588e-01 1.92866e+00 9.64331e-02
3.18061e-01 1.92057e+00 9.60285e-02
3.19542e-01 1.91244e+00 9.56218e-02
3.21029e-01 1.90427e+00 9.52135e-02
3.22523e-01 1.89606e+00 9.48030e-02
